MeterNo,MeterType,LONG,LAT,Status,Borough
4072227,Strada,-73.9163440037,40.7577945257,Active,Queens
4072226,Strada,-73.9146913158,40.7570183901,Active,Queens
4072225,Strada,-73.9138608479,40.7566295542,Active,Queens
4072224,Strada,-73.913169949,40.7565709151,Active,Queens
4072223,Strada,-73.9130335422,40.7562405581,Active,Queens
1068277,Strada,-73.9256811973,40.8632444608,Active,Manhattan
1068276,Strada,-73.9254431101,40.8628757592,Active,Manhattan
1068275,Strada,-73.9250159699,40.8627832146,Active,Manhattan
1068274,Strada,-73.9249830632,40.8626699026,Active,Manhattan
1068273,Strada,-73.9250664371,40.8622891098,Active,Manhattan
1068272,Strada,-73.9248837435,40.8619931602,Active,Manhattan
1068266,Strada,-73.9251288948,40.8620153302,Active,Manhattan
1068265,Strada,-73.9255259803,40.8626312072,Active,Manhattan
1068264,Strada,-73.9258432073,40.8631242551,Active,Manhattan
1068261,Strada,-73.9274035104,40.8631505791,Active,Manhattan
1068281,Strada,-73.9255900908,40.8638195,Active,Manhattan
1068280,Strada,-73.9251432258,40.8639863788,Active,Manhattan
1068279,Strada,-73.9252178095,40.8637758386,Active,Manhattan
1068278,Strada,-73.9255936251,40.8636363976,Active,Manhattan
1068263,Strada,-73.9264163157,40.8633329198,Active,Manhattan
1068262,Strada,-73.9281207448,40.8626988741,Active,Manhattan
1228480,Strada,-73.9494435746,40.8280985944,Active,Manhattan
1228479,Strada,-73.9489887553,40.828719552,Active,Manhattan
1228478,Strada,-73.9486003427,40.8292496577,Active,Manhattan
1228477,Strada,-73.948074137,40.8299794775,Active,Manhattan
1228476,Strada,-73.9476773368,40.8305150422,Inactive,Manhattan
1228447,Strada,-73.9472136144,40.8305767615,Active,Manhattan
1228446,Strada,-73.9477782537,40.8298076268,Active,Manhattan
1228445,Strada,-73.9481369497,40.8293180841,Active,Manhattan
1228444,Strada,-73.948652718,40.8286054515,Active,Manhattan
1228443,Strada,-73.9490612681,40.828042599,Active,Manhattan
1389709,Strada,-73.9614502791,40.8103809262,Active,Manhattan
1389710,Strada,-73.9604370188,40.8099516101,Active,Manhattan
1389711,Strada,-73.9598008844,40.8096838288,Active,Manhattan
1389708,Strada,-73.9591151315,40.8096453552,Active,Manhattan
